a_1,a_2,b_1,b_2,g_1,g_2,steps til period gets recognized,time period,horizontal period,average time in seconds per peeling,average tube thickness in Period,average vertical translation in period,max tube thickness in period
2,73,0,1,1,1,10,4,73,0.0006297997065952846,0.7204337899545956,0.25,0.8888888888893689
2,75,0,1,1,1,10,4,75,0.0006337336131504603,0.7296666666667306,0.25,0.84375
2,77,0,1,1,1,10,4,77,0.0005490098680768694,0.7858044733045404,0.25,0.90625
2,79,0,1,1,1,10,4,79,0.0007528407233101981,0.7501758087201409,0.25,0.875
2,81,0,1,1,1,10,4,81,0.0007329157420567103,0.7381172839506818,0.25,0.8333333333334849
2,83,0,1,1,1,10,4,83,0.0006342785699026925,0.7872071619813141,0.25,0.8810240963855449
2,85,0,1,1,1,15,4,85,0.0007211534600508841,0.8133905228758621,0.25,0.90625
2,87,0,1,1,1,24,4,87,0.000823838370186942,0.9839798850576926,0.25,1.2083333333337123
2,89,0,1,1,1,26,5,89,0.0006622114489155431,0.8865204301915129,0.2,1.0703125
2,91,0,1,1,1,11,5,91,0.0007739365100860596,0.7632720288971768,0.2,0.9701236263738338
2,93,0,1,1,1,11,5,93,0.0007828623056411743,0.694780465949942,0.2,0.8763440860216178
2,95,0,1,1,1,11,5,95,0.0008420348167419434,0.7252802144249954,0.2,0.8450657894736846
2,97,0,1,1,1,11,5,97,0.0007734894752502441,0.7616635643376242,0.2,0.9075386597938291
2,99,0,1,1,1,12,5,99,0.0009305897881002987,0.7341119528621599,0.2,0.8333333333335986
3,4,0,1,1,1,1,1,2,0.00034928321838378906,0.3333333333334849,1.0,0.3333333333334849
3,5,0,1,1,1,1,1,5,0.00031685829162597656,0.75,1.0,0.75
3,7,0,1,1,1,4,2,7,0.00023448467254638672,1.0873015873016811,0.5,1.25
3,8,0,1,1,1,2,2,4,0.00027292966842651367,0.5694444444444949,0.5,0.6666666666667425
3,10,0,1,1,1,2,2,10,0.00024646520614624023,0.8333333333334186,0.5,0.8333333333334281
3,11,0,1,1,1,2,2,11,0.00023984909057617188,0.815656565656635,0.5,0.9166666666667425
3,13,0,1,1,1,2,2,13,0.0002199411392211914,0.7136752136752177,0.5,0.75
3,14,0,1,1,1,2,2,14,0.00013142824172973633,0.6666666666667235,0.5,0.6666666666667993
3,16,0,1,1,1,2,2,8,0.00025135278701782227,0.45138888888891415,0.5,0.6875
3,17,0,1,1,1,2,2,17,0.0002440810203552246,0.6960784313725602,0.5,0.75
3,19,0,1,1,1,2,2,19,0.00024694204330444336,0.7002923976608818,0.5,0.9342105263157894
3,20,0,1,1,1,2,2,10,0.00020641088485717773,0.5777777777778018,0.5,0.6666666666666998
3,22,0,1,1,1,7,2,22,0.00015735626220703125,0.8333333333334091,0.5,0.8333333333334281
3,23,0,1,1,1,7,2,23,0.0001743104722764757,1.1135265700483359,0.5,1.25
3,25,0,1,1,1,9,3,25,0.00018966197967529297,1.0354166666666913,0.3333333333333333,1.2300000000000182
3,26,0,1,1,1,6,3,26,0.0002466572655571832,0.7475961538461782,0.3333333333333333,0.875
3,28,0,1,1,1,6,3,14,0.0001998742421468099,0.6071428571428927,0.3333333333333333,0.6785714285714288
3,29,0,1,1,1,6,3,29,0.00033598475986056856,0.7119252873563653,0.3333333333333333,0.7614942528737174
3,31,0,1,1,1,3,3,31,0.0002750555674235026,0.6733870967742632,0.3333333333333333,0.7741935483871032
3,32,0,1,1,1,3,3,16,0.00011583169301350911,0.6171875000000142,0.3333333333333333,0.6666666666666856
