a_1,a_2,b_1,b_2,g_1,g_2,steps til period gets recognized,time period,horizontal period,average time in seconds per peeling,average tube thickness in Period,average vertical translation in period,max tube thickness in period
1,2,13,19,1,1,77,38,38,0.0003219832544741423,1.023545706371729,0.8157894736842105,1.0235457063736249
1,2,13,20,1,1,57,20,20,0.00018445857159503094,1.0112500000001727,0.85,1.0112500000005866
1,2,14,15,1,1,86,30,30,0.00022426350363369645,0.9688888888892516,0.5666666666666667,0.968888888890092
1,2,14,17,1,1,81,34,34,0.0002637718034827191,0.9861591695505658,0.6764705882352942,0.9861591695516836
1,2,14,19,1,1,79,38,38,0.00031191670996511087,1.008310249308012,0.7631578947368421,1.0083102493099858
1,2,15,16,1,1,44,16,16,0.00015517473220825196,0.939453125,0.5625,0.939453125
1,2,15,17,1,1,85,34,34,0.0002822395132369354,0.9775086505193704,0.6176470588235294,0.977508650520349
1,2,15,19,1,1,83,38,38,0.0003048506650057706,0.995844875346833,0.7105263157894737,0.9958448753486664
1,2,16,17,1,1,91,34,34,0.00024350166320800782,0.9723183391007186,0.5588235294117647,0.9723183391015482
1,2,16,19,1,1,86,38,38,0.00028419879175001575,0.986149584488087,0.6578947368421053,0.9861495844897945
1,2,17,18,1,1,23,9,9,0.00018996000289916992,0.8904320987655311,0.5555555555555556,0.8904320987657002
1,2,17,19,1,1,90,38,38,0.0002876501530408859,0.9792243767317078,0.6052631578947368,0.9792243767328728
1,2,17,20,1,1,44,20,20,0.0001793503761291504,0.9612500000001519,0.65,0.9612500000005184
1,2,18,19,1,1,95,38,38,0.0002809825696443257,0.9750692520780861,0.5526315789473685,0.9750692520801749
1,2,19,20,1,1,49,20,20,0.00016167543936466825,0.9512500000001455,0.55,0.9512500000007549
1,8,0,1,1,1,3,3,4,0.00013339519500732422,0.40625,0.3333333333333333,0.5
1,8,1,1,1,1,3,3,4,0.0001452763875325521,0.40625,0.3333333333333333,0.5
1,8,1,2,1,1,3,3,4,0.00015040238698323569,0.40625,0.3333333333333333,0.5
1,8,1,3,1,1,18,9,12,0.00018373242130985968,0.7097222222222598,0.4444444444444444,0.7222222222222854
1,8,1,4,1,1,3,3,4,0.00013216336568196615,0.3125,0.3333333333333333,0.5
1,8,1,5,1,1,34,15,20,0.00015101140859175702,0.8284375000000541,0.4,0.8800000000001091
1,8,1,6,1,1,18,9,12,0.000188765702424226,0.7097222222222527,0.4444444444444444,0.722222222222257
1,8,1,7,1,1,55,21,28,0.000205918362266139,0.8922773654917001,0.47619047619047616,0.8979591836736063
1,8,1,8,1,1,2,2,8,0.0002237558364868164,0.53125,0.5,0.53125
1,8,1,9,1,1,60,27,36,0.0002687415857424681,0.9230048500883699,0.48148148148148145,0.9274691358027951
1,8,1,10,1,1,32,15,20,0.00014099161675635804,0.8356250000000598,0.4666666666666667,0.8450000000001694
1,8,1,11,1,1,68,33,44,0.0003117051455053953,0.9366492464755567,0.45454545454545453,0.9597107438020203
1,8,1,12,1,1,18,9,12,0.0001399252149793837,0.709722222222255,0.4444444444444444,0.722222222222257
1,8,1,13,1,1,112,39,52,0.0003495816363404129,0.9505362426037809,0.4358974358974359,0.98298816568132
1,8,1,14,1,1,58,21,28,0.00021347516699682308,0.8843923933210263,0.42857142857142855,0.9209183673470989
